Id x1 y1 x2 y2
209 0.375 0 0.5 -0.125
210 0.125 -0.5 0 -0.375
211 0 -0.375 0 -0.5
212 0.875 -0.5 1 -0.625
213 1 -0.625 1 -0.5
214 0 -1 0.125 -1
215 0.125 -1 0 -0.875
216 0 -0.875 0 -1
217 1 0 0.875 0
218 0.875 0 1 -0.125
219 1 -0.125 1 0
220 0.375 -0.5 0.5 -0.625
221 0.625 -0.5 0.5 -0.375
222 0.625 -0.75 0.75 -0.875
223 0.375 -0.25 0.25 -0.125
224 0.125 -0.25 0.25 -0.375
225 0.875 -0.75 0.75 -0.625
226 0.125 -0.75 0.25 -0.875
227 0.875 -0.25 0.75 -0.125
228 0.375 -0.75 0.25 -0.625
229 0.625 -0.25 0.75 -0.375
230 0 0 -0.125 -0.125
231 -0.125 -0.125 0 -0.125
232 1 0 1 0.25
233 1 0.25 0.875 0.125
234 0.875 0.125 1 0
235 0.875 0.125 0.875 0
236 0 0 -0.25 0
237 -0.25 0 -0.125 -0.125
238 0 -0.5 -0.25 -0.5
239 -0.25 -0.5 -0.125 -0.625
240 -0.125 -0.625 0 -0.5
241 0.5 0 0.5 0.25
242 0.5 0.25 0.375 0.125
243 0.375 0.125 0.5 0
244 -0.125 -0.625 0 -0.625
245 0.375 0.125 0.375 0
246 -0.25 -0.25 0 -0.25
247 0 -0.25 -0.125 -0.125
248 -0.125 -0.125 -0.25 -0.25
251 0.75 0.25 0.75 0
252 0.75 0 0.875 0.125
253 0.875 0.125 0.75 0.25
256 -0.25 -0.75 -0.25 -0.5
260 -0.25 -0.75 0 -0.75
261 0 -0.75 -0.125 -0.625
262 -0.125 -0.625 -0.25 -0.75
263 0.25 0.25 0.25 0
264 0.25 0 0.375 0.125
265 0.375 0.125 0.25 0.25
266 0 -0.5 -0.125 -0.375
267 -0.125 -0.375 -0.25 -0.5
268 0.5 0 0.625 0.125
269 0.625 0.125 0.5 0.25
270 0 -0.375 -0.125 -0.375
271 0.625 0 0.625 0.125
272 0 -1 -0.125 -0.875
273 -0.125 -0.875 -0.25 -1
274 -0.25 -1 0 -1
275 0 -0.875 -0.125 -0.875
276 0.125 0 0.125 0.125
277 0.125 0.125 0 0
278 0.125 0.125 0 0.25
279 0 0.25 0 0
282 -0.25 -0.25 -0.125 -0.375
283 -0.125 -0.375 0 -0.25
284 0.75 0.25 0.625 0.125
285 0.625 0.125 0.75 0
288 -0.25 -0.75 -0.125 -0.875
289 -0.125 -0.875 0 -0.75
290 0.25 0.25 0.125 0.125
291 0.125 0.125 0.25 0
352 0.25 0.75 0 0.75
353 0 1 0 0.75
354 0 0.5 0 0.75
355 -0.75 -0.75 -0.75 -1
356 -1 -1 -0.75 -1
357 -0.5 -1 -0.75 -1
358 0.25 0.75 0.25 1
359 0 1 0.25 1
360 0.5 1 0.25 1
361 -0.75 -0.75 -1 -0.75
362 -1 -1 -1 -0.75
363 -1 -0.5 -1 -0.75
364 -1 -0.75 -0.875 -0.625
365 -1 -0.5 -0.875 -0.625
366 -0.75 -0.75 -0.875 -0.625
367 -0.75 -0.5 -0.875 -0.625
368 0.25 1 0.375 0.875
369 0.5 1 0.375 0.875
370 0.25 0.75 0.375 0.875
371 0.5 0.75 0.375 0.875
372 -1 -0.75 -0.875 -0.875
373 -1 -1 -0.875 -0.875
374 -0.75 -0.75 -0.875 -0.875
375 -0.75 -1 -0.875 -0.875
376 0.25 1 0.125 0.875
377 0 1 0.125 0.875
378 0.25 0.75 0.125 0.875
379 0 0.75 0.125 0.875
380 -0.75 -1 -0.625 -0.875
381 -0.5 -1 -0.625 -0.875
382 -0.75 -0.75 -0.625 -0.875
383 -0.5 -0.75 -0.625 -0.875
384 0 0.75 0.125 0.625
385 0 0.5 0.125 0.625
386 0.25 0.75 0.125 0.625
387 0.25 0.5 0.125 0.625
388 -0.5 -0.75 -0.375 -0.625
389 -0.25 -0.75 -0.375 -0.625
390 -0.5 -0.5 -0.375 -0.625
391 -0.25 -0.5 -0.375 -0.625
392 0.25 0.5 0.375 0.375
393 0.25 0.25 0.375 0.375
394 0.5 0.5 0.375 0.375
395 0.5 0.25 0.375 0.375
396 -0.5 -0.75 -0.375 -0.875
397 -0.5 -1 -0.375 -0.875
398 -0.25 -0.75 -0.375 -0.875
399 -0.25 -1 -0.375 -0.875
400 0.25 0.5 0.125 0.375
401 0 0.5 0.125 0.375
402 0.25 0.25 0.125 0.375
403 0 0.25 0.125 0.375
404 -0.5 -0.75 -0.625 -0.625
405 -0.5 -0.5 -0.625 -0.625
406 -0.75 -0.75 -0.625 -0.625
407 -0.75 -0.5 -0.625 -0.625
408 0.25 0.5 0.375 0.625
409 0.5 0.5 0.375 0.625
410 0.25 0.75 0.375 0.625
411 0.5 0.75 0.375 0.625
412 -0.75 -0.5 -0.875 -0.375
413 -1 -0.5 -0.875 -0.375
414 -0.75 -0.25 -0.875 -0.375
415 -1 -0.25 -0.875 -0.375
416 0.5 0.75 0.625 0.875
417 0.5 1 0.625 0.875
418 0.75 0.75 0.625 0.875
419 0.75 1 0.625 0.875
420 -0.75 -0.5 -0.625 -0.375
421 -0.5 -0.5 -0.625 -0.375
422 -0.75 -0.25 -0.625 -0.375
423 -0.5 -0.25 -0.625 -0.375
424 0.5 0.75 0.625 0.625
425 0.5 0.5 0.625 0.625
426 0.75 0.75 0.625 0.625
427 0.75 0.5 0.625 0.625
428 -1 -0.25 -0.875 -0.125
429 -1 0 -0.875 -0.125
430 -0.75 -0.25 -0.875 -0.125
431 -0.75 0 -0.875 -0.125
432 0.75 1 0.875 0.875
433 1 1 0.875 0.875
434 0.75 0.75 0.875 0.875
435 1 0.75 0.875 0.875
436 -0.5 -0.25 -0.375 -0.125
437 -0.25 -0.25 -0.375 -0.125
438 -0.5 0 -0.375 -0.125
439 -0.25 0 -0.375 -0.125
440 0.75 0.5 0.875 0.375
441 0.75 0.25 0.875 0.375
442 1 0.5 0.875 0.375
443 1 0.25 0.875 0.375
444 -0.5 -0.25 -0.375 -0.375
445 -0.5 -0.5 -0.375 -0.375
446 -0.25 -0.25 -0.375 -0.375
447 -0.25 -0.5 -0.375 -0.375
448 0.75 0.5 0.625 0.375
449 0.5 0.5 0.625 0.375
450 0.75 0.25 0.625 0.375
451 0.5 0.25 0.625 0.375
452 -0.5 -0.25 -0.625 -0.125
453 -0.5 0 -0.625 -0.125
454 -0.75 -0.25 -0.625 -0.125
455 -0.75 0 -0.625 -0.125
456 0.75 0.5 0.875 0.625
457 1 0.5 0.875 0.625
458 0.75 0.75 0.875 0.625
459 1 0.75 0.875 0.625
460 0.875 0.625 0.875 0.75
461 0.75 0.75 0.875 0.75
462 1 0.75 0.875 0.75
463 0.875 0.875 0.875 0.75
464 -0.625 -0.125 -0.75 -0.125
465 -0.75 -0.25 -0.75 -0.125
466 -0.75 0 -0.75 -0.125
467 -0.875 -0.125 -0.75 -0.125
468 0.875 0.625 1 0.625
469 1 0.5 1 0.625
470 1 0.75 1 0.625
471 -0.625 -0.125 -0.625 0
472 -0.5 0 -0.625 0
473 -0.75 0 -0.625 0
474 0.875 0.625 0.75 0.625
475 0.75 0.75 0.75 0.625
476 0.75 0.5 0.75 0.625
477 0.625 0.625 0.75 0.625
478 -0.625 -0.125 -0.625 -0.25
479 -0.75 -0.25 -0.625 -0.25
480 -0.5 -0.25 -0.625 -0.25
481 -0.625 -0.375 -0.625 -0.25
482 0.875 0.625 0.875 0.5
483 1 0.5 0.875 0.5
484 0.75 0.5 0.875 0.5
485 0.875 0.375 0.875 0.5
486 -0.625 -0.125 -0.5 -0.125
487 -0.5 0 -0.5 -0.125
488 -0.5 -0.25 -0.5 -0.125
489 -0.375 -0.125 -0.5 -0.125
490 0.625 0.375 0.625 0.25
491 0.5 0.25 0.625 0.25
492 0.75 0.25 0.625 0.25
493 0.625 0.125 0.625 0.25
494 -0.375 -0.375 -0.25 -0.375
495 -0.25 -0.5 -0.25 -0.375
496 -0.25 -0.25 -0.25 -0.375
497 -0.125 -0.375 -0.25 -0.375
498 0.625 0.375 0.5 0.375
499 0.5 0.25 0.5 0.375
500 0.5 0.5 0.5 0.375
501 0.375 0.375 0.5 0.375
502 -0.375 -0.375 -0.375 -0.5
503 -0.25 -0.5 -0.375 -0.5
504 -0.5 -0.5 -0.375 -0.5
505 -0.375 -0.625 -0.375 -0.5
506 0.625 0.375 0.75 0.375
507 0.75 0.25 0.75 0.375
508 0.75 0.5 0.75 0.375
509 0.875 0.375 0.75 0.375
510 -0.375 -0.375 -0.375 -0.25
511 -0.25 -0.25 -0.375 -0.25
512 -0.5 -0.25 -0.375 -0.25
513 -0.375 -0.125 -0.375 -0.25
514 0.625 0.375 0.625 0.5
515 0.5 0.5 0.625 0.5
516 0.75 0.5 0.625 0.5
517 0.625 0.625 0.625 0.5
518 -0.375 -0.375 -0.5 -0.375
519 -0.5 -0.5 -0.5 -0.375
520 -0.5 -0.25 -0.5 -0.375
521 -0.625 -0.375 -0.5 -0.375
522 0.875 0.375 1 0.375
523 1 0.25 1 0.375
524 1 0.5 1 0.375
525 -0.375 -0.125 -0.375 0
526 -0.25 0 -0.375 0
527 -0.5 0 -0.375 0
528 0.875 0.375 0.875 0.25
529 0.75 0.25 0.875 0.25
530 1 0.25 0.875 0.25
531 0.875 0.125 0.875 0.25
532 -0.375 -0.125 -0.25 -0.125
533 -0.25 -0.25 -0.25 -0.125
534 -0.25 0 -0.25 -0.125
535 -0.125 -0.125 -0.25 -0.125
536 0.875 0.875 1 0.875
537 1 1 1 0.875
538 1 0.75 1 0.875
539 -0.875 -0.125 -0.875 0
540 -1 0 -0.875 0
541 -0.75 0 -0.875 0
542 0.875 0.875 0.75 0.875
543 0.75 0.75 0.75 0.875
544 0.75 1 0.75 0.875
545 0.625 0.875 0.75 0.875
546 -0.875 -0.125 -0.875 -0.25
547 -0.75 -0.25 -0.875 -0.25
548 -1 -0.25 -0.875 -0.25
549 -0.875 -0.375 -0.875 -0.25
550 0.875 0.875 0.875 1
551 1 1 0.875 1
552 0.75 1 0.875 1
553 -0.875 -0.125 -1 -0.125
554 -1 0 -1 -0.125
555 -1 -0.25 -1 -0.125
556 0.625 0.625 0.625 0.75
557 0.75 0.75 0.625 0.75
558 0.5 0.75 0.625 0.75
559 0.625 0.875 0.625 0.75
560 -0.625 -0.375 -0.75 -0.375
561 -0.75 -0.25 -0.75 -0.375
562 -0.75 -0.5 -0.75 -0.375
563 -0.875 -0.375 -0.75 -0.375
564 0.625 0.625 0.5 0.625
565 0.5 0.5 0.5 0.625
566 0.5 0.75 0.5 0.625
567 0.375 0.625 0.5 0.625
568 -0.625 -0.375 -0.625 -0.5
569 -0.5 -0.5 -0.625 -0.5
570 -0.75 -0.5 -0.625 -0.5
571 -0.625 -0.625 -0.625 -0.5
572 0.625 0.875 0.625 1
573 0.5 1 0.625 1
574 0.75 1 0.625 1
575 -0.875 -0.375 -1 -0.375
576 -1 -0.5 -1 -0.375
577 -1 -0.25 -1 -0.375
578 0.625 0.875 0.5 0.875
579 0.5 1 0.5 0.875
580 0.5 0.75 0.5 0.875
581 0.375 0.875 0.5 0.875
582 -0.875 -0.375 -0.875 -0.5
583 -1 -0.5 -0.875 -0.5
584 -0.75 -0.5 -0.875 -0.5
585 -0.875 -0.625 -0.875 -0.5
586 0.375 0.625 0.375 0.75
587 0.25 0.75 0.375 0.75
588 0.5 0.75 0.375 0.75
589 0.375 0.875 0.375 0.75
590 -0.625 -0.625 -0.75 -0.625
591 -0.75 -0.75 -0.75 -0.625
592 -0.75 -0.5 -0.75 -0.625
593 -0.875 -0.625 -0.75 -0.625
594 0.375 0.625 0.25 0.625
595 0.25 0.75 0.25 0.625
596 0.25 0.5 0.25 0.625
597 0.125 0.625 0.25 0.625
598 -0.625 -0.625 -0.625 -0.75
599 -0.75 -0.75 -0.625 -0.75
600 -0.5 -0.75 -0.625 -0.75
601 -0.625 -0.875 -0.625 -0.75
602 0.375 0.625 0.375 0.5
603 0.5 0.5 0.375 0.5
604 0.25 0.5 0.375 0.5
605 0.375 0.375 0.375 0.5
606 -0.625 -0.625 -0.5 -0.625
607 -0.5 -0.5 -0.5 -0.625
608 -0.5 -0.75 -0.5 -0.625
609 -0.375 -0.625 -0.5 -0.625
610 0.125 0.375 0.125 0.25
611 0 0.25 0.125 0.25
612 0.25 0.25 0.125 0.25
613 0.125 0.125 0.125 0.25
614 -0.375 -0.875 -0.25 -0.875
615 -0.25 -1 -0.25 -0.875
616 -0.25 -0.75 -0.25 -0.875
617 -0.125 -0.875 -0.25 -0.875
618 0.125 0.375 0 0.375
619 0 0.5 0 0.375
620 0 0.25 0 0.375
621 -0.375 -0.875 -0.375 -1
622 -0.5 -1 -0.375 -1
623 -0.25 -1 -0.375 -1
624 0.125 0.375 0.25 0.375
625 0.25 0.25 0.25 0.375
626 0.25 0.5 0.25 0.375
627 0.375 0.375 0.25 0.375
628 -0.375 -0.875 -0.375 -0.75
629 -0.25 -0.75 -0.375 -0.75
630 -0.5 -0.75 -0.375 -0.75
631 -0.375 -0.625 -0.375 -0.75
632 0.125 0.375 0.125 0.5
633 0 0.5 0.125 0.5
634 0.25 0.5 0.125 0.5
635 0.125 0.625 0.125 0.5
636 -0.375 -0.875 -0.5 -0.875
637 -0.5 -1 -0.5 -0.875
638 -0.5 -0.75 -0.5 -0.875
639 -0.625 -0.875 -0.5 -0.875
640 0.375 0.375 0.375 0.25
641 0.25 0.25 0.375 0.25
642 0.5 0.25 0.375 0.25
643 0.375 0.125 0.375 0.25
